districtcode,total_sum,M_sum,F_sum,total_0_19,M_0_19,F_0_19,total_20_39,M_20_39,F_20_39,total_40_59,M_40_59,F_40_59,total_60_79,M_60_79,F_60_79,total_80_e,M_80_e,F_80_e
4215000000,212965,105667,107298,31286,16309,14977,45781,24667,21114,68432,34733,33699,55278,25830,29448,12188,4128,8060
4215025000,16627,8122,8505,1588,855,733,2644,1462,1182,5025,2630,2395,5944,2694,3250,1426,481,945
4215031000,3449,1748,1701,328,178,150,469,277,192,1049,562,487,1227,623,604,376,108,268
4215032000,1574,843,731,59,32,27,166,110,56,408,231,177,764,399,365,177,71,106
4215033000,4225,2153,2072,482,260,222,664,363,301,1205,668,537,1482,740,742,392,122,270
4215034000,4223,2246,1977,280,150,130,690,452,238,1159,695,464,1627,804,823,467,145,322
4215035000,3495,1798,1697,236,134,102,466,295,171,954,539,415,1454,720,734,385,110,275
4215036000,4652,2412,2240,422,234,188,807,467,340,1426,772,654,1622,801,821,375,138,237
4215037000,6355,3181,3174,744,369,375,1019,564,455,1986,1036,950,2155,1057,1098,451,155,296
4215051000,15169,7387,7782,2736,1391,1345,3668,1887,1781,5055,2474,2581,3075,1426,1649,635,209,426
4215052000,4792,2299,2493,432,212,220,938,506,432,1365,727,638,1628,712,916,429,142,287
4215054000,3366,1735,1631,235,133,102,588,334,254,1004,564,440,1250,582,668,289,122,167
4215055000,25882,12620,13262,4573,2347,2226,6169,3237,2932,8854,4293,4561,5171,2341,2830,1115,402,713
4215056000,7746,3841,3905,932,491,441,1691,902,789,2402,1213,1189,2252,1072,1180,469,163,306
4215057100,10448,5149,5299,1155,610,545,2155,1169,986,3392,1722,1670,3166,1416,1750,580,232,348
4215057200,12792,6283,6509,1632,857,775,2853,1538,1315,4139,2077,2062,3527,1609,1918,641,202,439
4215058000,4743,2323,2420,660,323,337,1077,620,457,1615,761,854,1142,529,613,249,90,159
4215059000,10075,4827,5248,1887,938,949,2395,1209,1186,3311,1571,1740,2104,971,1133,378,138,240
4215060000,16364,8177,8187,2816,1448,1368,4344,2279,2065,5238,2657,2581,3340,1595,1745,626,198,428
4215061500,17718,8897,8821,2356,1262,1094,3467,1938,1529,5526,2938,2588,5108,2308,2800,1261,451,810
4215064500,28067,13900,14167,5576,2975,2601,6476,3418,3058,9640,4734,4906,5274,2445,2829,1101,328,773
4215066500,11203,5726,5477,2157,1110,1047,3035,1640,1395,3679,1869,1810,1966,986,980,366,121,245
4282000000,27249,14019,13230,2942,1544,1398,5057,3066,1991,7874,4280,3594,9059,4364,4695,2317,765,1552
4282025000,7110,3727,3383,1135,601,534,1765,1044,721,1993,1073,920,1751,857,894,466,152,314
4282025300,5989,2998,2991,486,248,238,769,485,284,1660,936,724,2377,1100,1277,697,229,468
4282031000,2292,1115,1177,147,80,67,251,147,104,587,327,260,1044,487,557,263,74,189
4282032000,3468,1786,1682,272,139,133,575,351,224,953,522,431,1313,652,661,355,122,233
4282033000,8390,4393,3997,902,476,426,1697,1039,658,2681,1422,1259,2574,1268,1306,536,188,348
4282034000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4217000000,90081,45795,44286,14807,7678,7129,18038,10200,7838,29959,15604,14355,22673,10720,11953,4604,1593,3011
4217051000,30710,15291,15419,5810,2959,2851,6916,3835,3081,10252,4982,5270,6718,3179,3539,1014,336,678
4217052000,3754,2050,1704,335,179,156,781,513,268,1110,646,464,1196,589,607,332,123,209
4217053000,20007,10386,9621,4014,2125,1889,4333,2470,1863,7409,3811,3598,3614,1738,1876,637,242,395
4217054000,4951,2403,2548,495,266,229,748,397,351,1534,806,728,1820,820,1000,354,114,240
4217055000,5118,2586,2532,719,376,343,872,471,401,1642,907,735,1581,717,864,304,115,189
4217057000,3344,1702,1642,241,121,120,434,276,158,950,545,405,1375,644,731,344,116,228
4217059000,3086,1538,1548,253,138,115,341,191,150,893,524,369,1254,549,705,345,136,209
4217060000,12817,6607,6210,2369,1225,1144,2749,1515,1234,4268,2277,1991,2814,1384,1430,617,206,411
4217063000,3491,1764,1727,334,168,166,484,289,195,1029,577,452,1273,612,661,371,118,253
4217065000,2803,1468,1335,237,121,116,380,243,137,872,529,343,1028,488,540,286,87,199
4223000000,63429,32043,31386,8542,4367,4175,11931,6559,5372,19417,10586,8831,18835,9070,9765,4704,1461,3243
4223025000,9538,4719,4819,1089,510,579,2121,1098,1023,2529,1409,1120,3116,1508,1608,683,194,489
4223025300,3217,1692,1525,199,102,97,425,288,137,955,586,369,1245,606,639,393,110,283
4223025400,1687,840,847,102,53,49,200,118,82,514,293,221,679,317,362,192,59,133
4223031000,5063,2612,2451,283,156,127,572,363,209,1409,874,535,2073,1006,1067,726,213,513
4223032000,1296,701,595,57,33,24,128,73,55,387,229,158,581,309,272,143,57,86
4223033000,714,389,325,17,8,9,52,33,19,195,132,63,334,177,157,116,39,77
4223034000,1807,944,863,93,56,37,151,90,61,507,318,189,794,411,383,262,69,193
4223035000,669,342,327,33,20,13,42,24,18,187,115,72,313,152,161,94,31,63
4223036000,665,359,306,24,12,12,55,32,23,197,131,66,291,148,143,98,36,62
4223051000,7478,3680,3798,722,377,345,1248,713,535,2278,1165,1113,2664,1238,1426,566,187,379
4223053000,14387,7306,7081,3261,1670,1591,3678,1959,1719,4806,2446,2360,2250,1089,1161,392,142,250
4223054000,8924,4526,4398,1419,742,677,1828,990,838,2978,1619,1359,2211,1028,1183,488,147,341
4223057000,7984,3933,4051,1243,628,615,1431,778,653,2475,1269,1206,2284,1081,1203,551,177,374
4221000000,82791,41080,41711,12841,6608,6233,18070,9986,8084,27217,13523,13694,20648,9661,10987,4015,1302,2713
4221051000,4427,2303,2124,402,225,177,796,470,326,1355,746,609,1575,765,810,299,97,202
4221052000,3592,1805,1787,488,257,231,613,334,279,1176,609,567,1093,532,561,222,73,149
4221054000,6024,2945,3079,644,333,311,1052,606,446,1880,946,934,1986,911,1075,462,149,313
4221056000,9564,4687,4877,1284,671,613,2101,1178,923,3008,1469,1539,2665,1205,1460,506,164,342
4221057000,21873,10928,10945,3542,1801,1741,4701,2619,2082,7449,3670,3779,5173,2527,2646,1008,311,697
4221058000,29264,14306,14958,5735,2919,2816,7319,3914,3405,9896,4756,5140,5415,2425,2990,899,292,607
4221059000,4932,2497,2435,547,286,261,1029,582,447,1517,821,696,1484,695,789,355,113,242
4221060000,3115,1609,1506,199,116,83,459,283,176,936,506,430,1257,601,656,264,103,161
4280000000,21748,11464,10284,3578,1792,1786,5327,3270,2057,5835,3128,2707,5603,2802,2801,1405,472,933
4280025000,13802,7012,6790,2906,1430,1476,3543,1982,1561,3814,1982,1832,2869,1402,1467,670,216,454
4280031500,3359,1894,1465,283,156,127,687,513,174,873,510,363,1190,603,587,326,112,214
4280032000,2039,1132,907,187,97,90,557,385,172,482,264,218,635,322,313,178,64,114
4280033000,1290,746,544,99,51,48,356,279,77,276,151,125,437,223,214,122,42,80
4280034000,1258,680,578,103,58,45,184,111,73,390,221,169,472,252,220,109,38,71
4283000000,27913,14251,13662,3039,1589,1450,4571,2626,1945,8382,4522,3860,9575,4691,4884,2346,823,1523
4283025000,12687,6462,6225,1920,1010,910,2447,1384,1063,4094,2121,1973,3445,1673,1772,781,274,507
4283031000,2786,1432,1354,213,118,95,346,202,144,793,450,343,1139,542,597,295,120,175
4283032000,2306,1162,1144,149,65,84,344,191,153,655,376,279,883,426,457,275,104,171
4283033000,2596,1340,1256,169,90,79,351,218,133,689,366,323,1110,561,549,277,105,172
4283034000,2967,1529,1438,198,100,98,360,207,153,785,470,315,1251,643,608,373,109,264
4283035000,4571,2326,2245,390,206,184,723,424,299,1366,739,627,1747,846,901,345,111,234
4275000000,37904,19626,18278,4297,2309,1988,5756,3247,2509,11419,6282,5137,13191,6654,6537,3241,1134,2107
4275025000,20799,10637,10162,3237,1765,1472,4061,2222,1839,6619,3491,3128,5577,2708,2869,1305,451,854
4275025300,1025,531,494,50,30,20,83,48,35,281,170,111,465,238,227,146,45,101
4275031200,1426,759,667,79,36,43,115,80,35,434,256,178,627,329,298,171,58,113
4275032500,1698,880,818,102,52,50,130,80,50,503,270,233,789,420,369,174,58,116
4275033000,2074,1097,977,114,49,65,213,132,81,595,360,235,905,470,435,247,86,161
4275034000,2225,1187,1038,133,68,65,225,144,81,613,375,238,1010,527,483,244,73,171
4275035500,1212,678,534,85,45,40,159,97,62,367,228,139,490,262,228,111,46,65
4275035900,1658,897,761,95,44,51,215,141,74,431,273,158,710,360,350,207,79,128
4275036000,3740,1914,1826,279,157,122,381,215,166,1024,559,465,1605,825,780,451,158,293
4275038000,2047,1046,1001,123,63,60,174,88,86,552,300,252,1013,515,498,185,80,105
4213000000,357757,177396,180361,62782,32208,30574,90367,47094,43273,118119,58657,59462,71478,34433,37045,15011,5004,10007
4213025000,17887,9149,8738,2621,1327,1294,3806,2100,1706,6251,3297,2954,4233,2099,2134,976,326,650
4213031000,8439,4471,3968,809,417,392,1602,987,615,2556,1374,1182,2804,1462,1342,668,231,437
4213032000,3643,1920,1723,218,124,94,526,311,215,996,585,411,1445,753,692,458,147,311
4213033000,29029,14255,14774,7414,3669,3745,9516,4718,4798,8377,4137,4240,3198,1574,1624,524,157,367
4213035000,2226,1134,1092,121,50,71,215,126,89,488,298,190,1073,553,520,329,107,222
4213036000,2163,1114,1049,110,55,55,244,149,95,582,328,254,969,491,478,258,91,167
4213037000,9256,4873,4383,1130,581,549,2361,1338,1023,2842,1525,1317,2374,1239,1135,549,190,359
4213038000,7385,3888,3497,1037,536,501,1875,1054,821,2561,1369,1192,1568,816,752,344,113,231
4213039000,3574,1827,1747,163,92,71,372,210,162,988,535,453,1623,833,790,428,157,271
4213051500,2577,1378,1199,141,77,64,349,191,158,788,491,297,987,516,471,312,103,209
4213052000,4562,2176,2386,492,258,234,1136,575,561,1392,696,696,1224,548,676,318,99,219
4213053000,12740,6093,6647,1887,983,904,2769,1440,1329,4086,1936,2150,3226,1472,1754,772,262,510
4213054100,8398,4039,4359,1101,539,562,1826,977,849,2733,1293,1440,2240,1050,1190,498,180,318
4213054200,15519,7504,8015,2306,1136,1170,3495,1823,1672,5370,2612,2758,3568,1696,1872,780,237,543
4213055000,44736,21951,22785,8447,4367,4080,12148,6402,5746,15797,7554,8243,7020,3205,3815,1324,423,901
4213056000,8576,4134,4442,979,517,462,2531,1271,1260,2352,1151,1201,2192,996,1196,522,199,323
4213057500,4693,2334,2359,412,227,185,920,507,413,1500,795,705,1491,681,810,370,124,246
